Year,Month,Country,Mode,TradeType,TradeValue
1994,5,Mexico,Truck,Unknown,2814211528.0
1994,6,Canada,Mail (U.S. Postal Service),Export,5622691.0
1994,6,Canada,Mail (U.S. Postal Service),Import,5622691.0
1994,6,Canada,Mail (U.S. Postal Service),Unknown,384450.0
1994,6,Canada,Other/Unknown,Export,1885934749.0
1994,6,Canada,Other/Unknown,Import,1885920495.0
1994,6,Canada,Other/Unknown,Unknown,430515804.0
1994,6,Canada,Pipeline,Export,17309774.0
1994,6,Canada,Pipeline,Import,17309774.0
1994,6,Canada,Pipeline,Unknown,784953059.0
1994,6,Canada,Rail,Export,1132190773.0
1994,6,Canada,Rail,Import,1132190773.0
1994,6,Canada,Rail,Unknown,2644056876.0
1994,6,Canada,Truck,Export,8092187281.0
1994,6,Canada,Truck,Import,8092184550.0
1994,6,Canada,Truck,Unknown,6936274158.0
1994,6,Mexico,Mail (U.S. Postal Service),Export,392479.0
1994,6,Mexico,Mail (U.S. Postal Service),Import,392479.0
1994,6,Mexico,Mail (U.S. Postal Service),Unknown,96314.0
1994,6,Mexico,Other/Unknown,Export,250745605.0
1994,6,Mexico,Other/Unknown,Import,250745605.0
1994,6,Mexico,Other/Unknown,Unknown,31099925.0
1994,6,Mexico,Pipeline,Unknown,19107767.0
1994,6,Mexico,Rail,Export,311554832.0
1994,6,Mexico,Rail,Import,311554832.0
1994,6,Mexico,Rail,Unknown,695136068.0
1994,6,Mexico,Truck,Export,3479436441.0
1994,6,Mexico,Truck,Import,3479411745.0
1994,6,Mexico,Truck,Unknown,2879126842.0
1994,7,Canada,Mail (U.S. Postal Service),Export,8086342.0
1994,7,Canada,Mail (U.S. Postal Service),Import,8086342.0
1994,7,Canada,Mail (U.S. Postal Service),Unknown,576204.0
1994,7,Canada,Other/Unknown,Export,1100450346.0
1994,7,Canada,Other/Unknown,Import,1100444035.0
1994,7,Canada,Other/Unknown,Unknown,279643431.0
1994,7,Canada,Pipeline,Export,25494888.0
1994,7,Canada,Pipeline,Import,25494888.0
1994,7,Canada,Pipeline,Unknown,833489918.0
